_id,_pct_missed,_judgments,_gold_case,_difficulty,_hidden,_contention,_pct_contested,_which_sound_was_more_realistic,morepc_gold,morepc_gold_reason,rownum,s0_simplegrainlength,s1_simplemaxdist,s0_coordinates,s0_mix,s0_simplemaxdist,s0_name,s1_simplegrainlength,s1_name,s1_iteration,s1_hash,s0_hash,s1_mix,s1_coordinates,s0_iteration,jobname,_golden
277568715,0.00,0,,0,false,"",0,"",s0,Sound 2 is obviously a series of synthesized tones.,900,0.50_1.00,None,0.00_0.00_1.00,simple,15,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-00-simple.maxdist-15.mp3,None,mp3/mix-tones-iteration-01.mp3,01,0881e99d24a3cb576f8e194c4314ea77,9e8baaeacd7c51d3021c701b0c97d4d9,tones,None,00,tune-simple-study-1-rank-iterations,True
277568716,0.00,0,,0,false,"",0,"","same
null",Sounds are the same.,901,0.50_1.00,15,0.00_0.00_1.00,simple,15,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-00-simple.maxdist-15.mp3,0.50_1.00,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-00-simple.maxdist-15.mp3,00,9e8baaeacd7c51d3021c701b0c97d4d9,9e8baaeacd7c51d3021c701b0c97d4d9,simple,0.00_0.00_1.00,00,tune-simple-study-1-rank-iterations,True
277568717,0.00,1,,0,false,"",0.0,"s1
s0
null
same",s1,Sound 1 is obviously a series of synthesized tones.,902,None,30,None,tones,None,mp3/mix-tones-iteration-03.mp3,0.50_1.00,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-00-simple.maxdist-30.mp3,00,341851ad6767ec28f4bd0849f2c15137,d6586c064366081bc03656b73da40eb4,simple,0.00_0.00_1.00,03,tune-simple-study-1-rank-iterations,True
277568718,0.00,0,,0,false,"",0,"","same
null",Sounds are the same.,903,0.50_1.00,30,0.00_0.00_1.00,simple,30,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-00-simple.maxdist-30.mp3,0.50_1.00,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-00-simple.maxdist-30.mp3,00,341851ad6767ec28f4bd0849f2c15137,341851ad6767ec28f4bd0849f2c15137,simple,0.00_0.00_1.00,00,tune-simple-study-1-rank-iterations,True
277568719,0.00,0,,0,false,"",0,"",s0,Sound 2 is obviously a series of synthesized tones.,904,0.50_1.00,None,0.00_0.00_1.00,simple,5,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-00-simple.maxdist-5.mp3,None,mp3/mix-tones-iteration-04.mp3,04,dcddb696d2dbff2d47c4ab016491afef,2679c2f5014ff5de376c12cdc203b02d,tones,None,00,tune-simple-study-1-rank-iterations,True
277568720,0.00,0,,0,false,"",0,"","same
null",Sounds are the same.,905,0.50_1.00,5,0.00_0.00_1.00,simple,5,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-00-simple.maxdist-5.mp3,0.50_1.00,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-00-simple.maxdist-5.mp3,00,2679c2f5014ff5de376c12cdc203b02d,2679c2f5014ff5de376c12cdc203b02d,simple,0.00_0.00_1.00,00,tune-simple-study-1-rank-iterations,True
277568721,0.00,2,,0,false,"",0.0,"s1
s0
null
same",s1,Sound 1 is obviously a series of synthesized tones.,906,None,15,None,tones,None,mp3/mix-tones-iteration-04.mp3,0.50_1.00,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-01-simple.maxdist-15.mp3,01,0f5e559ff50799b683b3069d7dbdf23b,dcddb696d2dbff2d47c4ab016491afef,simple,0.00_0.00_1.00,04,tune-simple-study-1-rank-iterations,True
277568722,0.00,0,,0,false,"",0,"","same
null",Sounds are the same.,907,0.50_1.00,15,0.00_0.00_1.00,simple,15,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-01-simple.maxdist-15.mp3,0.50_1.00,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-01-simple.maxdist-15.mp3,01,0f5e559ff50799b683b3069d7dbdf23b,0f5e559ff50799b683b3069d7dbdf23b,simple,0.00_0.00_1.00,01,tune-simple-study-1-rank-iterations,True
277568723,0.00,0,,0,false,"",0,"",s0,Sound 2 is obviously a series of synthesized tones.,908,0.50_1.00,None,0.00_0.00_1.00,simple,30,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-01-simple.maxdist-30.mp3,None,mp3/mix-tones-iteration-00.mp3,00,0b1f9635282b5445671290fe7205e2ac,be382adde821a8a24bb5b4e83e3e99bc,tones,None,01,tune-simple-study-1-rank-iterations,True
277568724,0.00,1,,0,false,"",0.0,"same
s0
null
s1","same
null",Sounds are the same.,909,0.50_1.00,30,0.00_0.00_1.00,simple,30,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-01-simple.maxdist-30.mp3,0.50_1.00,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-01-simple.maxdist-30.mp3,01,be382adde821a8a24bb5b4e83e3e99bc,be382adde821a8a24bb5b4e83e3e99bc,simple,0.00_0.00_1.00,01,tune-simple-study-1-rank-iterations,True
277568725,0.00,1,,0,false,"",0.0,"s1
s0
null
same",s1,Sound 1 is obviously a series of synthesized tones.,910,None,5,None,tones,None,mp3/mix-tones-iteration-04.mp3,0.50_1.00,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-01-simple.maxdist-5.mp3,01,3b0768d5e03f12da12ce2c43bf1d7686,dcddb696d2dbff2d47c4ab016491afef,simple,0.00_0.00_1.00,04,tune-simple-study-1-rank-iterations,True
277568726,0.00,0,,0,false,"",0,"","same
null",Sounds are the same.,911,0.50_1.00,5,0.00_0.00_1.00,simple,5,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-01-simple.maxdist-5.mp3,0.50_1.00,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-01-simple.maxdist-5.mp3,01,3b0768d5e03f12da12ce2c43bf1d7686,3b0768d5e03f12da12ce2c43bf1d7686,simple,0.00_0.00_1.00,01,tune-simple-study-1-rank-iterations,True
277568727,0.00,0,,0,false,"",0,"",s0,Sound 2 is obviously a series of synthesized tones.,912,0.50_1.00,None,0.00_0.00_1.00,simple,15,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-02-simple.maxdist-15.mp3,None,mp3/mix-tones-iteration-01.mp3,01,0881e99d24a3cb576f8e194c4314ea77,4065161816f3f7e6dd29042c08483d0b,tones,None,02,tune-simple-study-1-rank-iterations,True
277568728,0.00,0,,0,false,"",0,"","same
null",Sounds are the same.,913,0.50_1.00,15,0.00_0.00_1.00,simple,15,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-02-simple.maxdist-15.mp3,0.50_1.00,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-02-simple.maxdist-15.mp3,02,4065161816f3f7e6dd29042c08483d0b,4065161816f3f7e6dd29042c08483d0b,simple,0.00_0.00_1.00,02,tune-simple-study-1-rank-iterations,True
